inquiry_id,created_at,employee_id,employee_department,support_department,category,topic,source,search_minutes,asking_minutes,response_wait_minutes,answering_minutes,resolved,period
B0204,2026-05-29 05:51:00,E0078,재무,,총무,회의실,coworker,6.6,2.8,21.5,4.2,1,pre_chatbot_1m
B0205,2026-05-17 09:57:00,E0024,인사,인사팀,인사,근태,support_department,6.5,1.6,52.8,6.9,1,pre_chatbot_1m
B0206,2026-05-21 18:22:00,E0258,고객지원,,인사,복지,senior,6.2,2.5,21.4,3.0,1,pre_chatbot_1m
B0207,2026-05-07 04:23:00,E0204,재무,,재무,법인카드,senior,6.6,1.6,26.0,6.3,1,pre_chatbot_1m
B0208,2026-05-27 03:51:00,E0134,고객지원,IT지원팀,IT,네트워크,support_department,3.6,1.7,47.1,11.5,1,pre_chatbot_1m
B0209,2026-05-16 18:58:00,E0298,영업,,IT,프로그램 설치,senior,1.0,2.2,12.8,3.0,1,pre_chatbot_1m
B0210,2026-05-08 16:46:00,E0089,디자인,,IT,VPN,coworker,5.5,1.0,9.9,4.4,1,pre_chatbot_1m
B0211,2026-05-13 14:10:00,E0026,인사,,IT,VPN,senior,11.9,2.2,28.2,3.5,1,pre_chatbot_1m
B0212,2026-05-14 07:30:00,E0253,영업,재무팀,재무,경비,support_department,2.5,1.2,75.2,12.4,0,pre_chatbot_1m
B0213,2026-05-28 02:08:00,E0258,기획,IT지원팀,IT,VPN,support_department,9.0,2.3,49.4,8.3,0,pre_chatbot_1m
B0214,2026-05-24 19:23:00,E0048,디자인,IT지원팀,IT,네트워크,support_department,7.0,2.8,27.2,7.0,1,pre_chatbot_1m
B0215,2026-05-16 14:45:00,E0183,고객지원,경영지원팀,일반규정,보안,support_department,3.8,2.9,30.0,10.2,1,pre_chatbot_1m
B0216,2026-05-28 04:47:00,E0255,영업,,일반규정,재택근무,senior,9.0,1.8,31.5,6.8,1,pre_chatbot_1m
B0217,2026-05-27 21:09:00,E0293,재무,,인사,연차,internal_document,10.4,2.9,5.4,0.0,1,pre_chatbot_1m
B0218,2026-05-18 22:42:00,E0158,기획,,인사,연차,internal_document,5.1,1.6,6.4,0.0,1,pre_chatbot_1m
B0219,2026-05-14 12:13:00,E0260,기획,,IT,VPN,senior,7.9,1.1,1.6,6.2,1,pre_chatbot_1m
B0220,2026-05-15 18:41:00,E0035,개발,인사팀,인사,근태,support_department,6.6,2.6,40.4,11.8,1,pre_chatbot_1m
B0221,2026-05-17 12:46:00,E0141,영업,총무팀,총무,택배/우편,support_department,8.3,2.0,43.2,8.7,1,pre_chatbot_1m
B0222,2026-05-08 13:37:00,E0279,고객지원,총무팀,총무,택배/우편,support_department,7.4,2.5,43.4,5.3,0,pre_chatbot_1m
B0223,2026-05-17 16:18:00,E0241,IT운영,총무팀,총무,회의실,support_department,3.2,1.6,74.5,12.0,0,pre_chatbot_1m
B0224,2026-05-06 00:44:00,E0266,영업,,일반규정,보안,internal_document,7.7,2.0,4.4,0.0,1,pre_chatbot_1m
B0225,2026-05-17 11:45:00,E0243,IT운영,총무팀,총무,비품,support_department,4.5,0.7,42.5,7.9,1,pre_chatbot_1m
B0226,2026-05-10 22:27:00,E0103,재무,,인사,연차,internal_document,10.9,1.1,7.2,0.0,1,pre_chatbot_1m
B0227,2026-05-03 09:09:00,E0233,재무,,IT,계정,internal_document,6.1,1.0,4.1,0.0,1,pre_chatbot_1m
B0228,2026-05-20 19:10:00,E0202,디자인,,IT,VPN,internal_document,5.9,1.5,3.3,0.0,1,pre_chatbot_1m
B0229,2026-05-14 11:10:00,E0103,영업,총무팀,총무,비품,support_department,5.2,2.1,24.8,10.1,1,pre_chatbot_1m
B0230,2026-05-02 14:25:00,E0079,인사,인사팀,인사,연차,support_department,8.5,0.9,80.5,7.4,1,pre_chatbot_1m
B0231,2026-05-17 12:36:00,E0151,IT운영,인사팀,인사,급여,support_department,5.4,0.9,41.6,5.7,1,pre_chatbot_1m
B0232,2026-05-04 15:34:00,E0283,개발,,인사,급여,internal_document,6.6,1.9,5.7,0.0,1,pre_chatbot_1m
B0233,2026-05-20 00:56:00,E0203,고객지원,IT지원팀,IT,VPN,support_department,7.4,1.3,56.0,10.1,1,pre_chatbot_1m
B0234,2026-05-25 00:59:00,E0040,개발,,일반규정,교육,internal_document,5.9,1.3,6.0,0.0,1,pre_chatbot_1m
B0235,2026-05-10 17:02:00,E0203,개발,,일반규정,재택근무,internal_document,7.0,3.1,7.4,0.0,1,pre_chatbot_1m
B0236,2026-05-02 15:10:00,E0282,인사,재무팀,재무,경비,support_department,11.5,3.8,52.4,8.3,1,pre_chatbot_1m
B0237,2026-05-26 19:56:00,E0186,고객지원,IT지원팀,IT,프로그램 설치,support_department,6.4,0.7,31.1,7.9,1,pre_chatbot_1m
B0238,2026-05-02 07:20:00,E0226,인사,,일반규정,보안,coworker,7.4,1.6,1.0,2.9,1,pre_chatbot_1m
B0239,2026-05-11 11:02:00,E0141,디자인,인사팀,인사,복지,support_department,4.3,1.3,60.6,11.0,1,pre_chatbot_1m
B0240,2026-05-16 04:17:00,E0006,기획,재무팀,재무,법인카드,support_department,9.7,2.2,35.8,8.1,1,pre_chatbot_1m
B0241,2026-05-15 20:42:00,E0157,개발,,재무,법인카드,coworker,3.2,1.4,5.3,4.5,1,pre_chatbot_1m
B0242,2026-05-18 22:51:00,E0151,기획,IT지원팀,IT,계정,support_department,6.1,2.6,46.9,9.0,1,pre_chatbot_1m
B0243,2026-05-21 02:39:00,E0103,개발,,IT,프로그램 설치,coworker,6.0,0.6,38.9,3.3,1,pre_chatbot_1m
B0244,2026-05-03 05:11:00,E0265,IT운영,,재무,출장비,coworker,4.7,4.1,11.5,4.2,1,pre_chatbot_1m
B0245,2026-05-08 15:51:00,E0223,영업,인사팀,인사,연차,support_department,3.4,2.2,31.7,7.4,1,pre_chatbot_1m
B0246,2026-05-02 06:01:00,E0130,IT운영,인사팀,인사,근태,support_department,8.9,1.9,47.4,7.2,1,pre_chatbot_1m
B0247,2026-05-10 04:25:00,E0052,개발,인사팀,인사,복지,support_department,9.2,1.2,11.3,8.8,1,pre_chatbot_1m
B0248,2026-05-12 10:55:00,E0080,인사,경영지원팀,일반규정,교육,support_department,11.7,0.3,44.1,8.4,1,pre_chatbot_1m
B0249,2026-05-11 23:55:00,E0269,개발,,인사,급여,senior,6.0,1.4,17.8,5.0,1,pre_chatbot_1m
B0250,2026-05-04 19:14:00,E0293,고객지원,인사팀,인사,복지,support_department,1.3,2.7,55.4,11.6,1,pre_chatbot_1m
